,score
514,599.9135755150946
515,627.9347319712281
516,637.7598791560664
517,646.6724455726078
518,630.9065964838579
519,589.2678852570409
520,658.0306120109672
521,631.1696866292474
522,560.1599761846961
523,640.8433600413941
524,611.9164620323022
525,616.7238558059124
526,616.893902719587
527,678.3069118555724
528,604.6251262207493
529,654.6902087936495
530,642.7956030074922
531,640.6231136227981
532,597.001810200263
533,645.2909871739525
534,603.5912942715154
535,592.6901383152341
536,631.6233690821967
537,623.2968268744597
538,643.9273970227517
539,652.0087663467054
540,633.0262643488768
541,662.8756119301258
542,587.2908416627456
543,588.3227384626284
544,624.8001475859926
545,568.9556485968137
546,611.8349263909898
547,643.7356966887121
548,632.1256611295655
549,677.7625546399987
550,627.8412845227853
551,604.4973361974306
552,595.5247754470533
553,565.4188284806677
554,628.7402516547747
555,603.3567258885305
556,661.1776037431002
557,594.8279156269037
558,645.1930486200035
559,604.1127921896942
560,637.6916818285836
561,611.5581468514063
562,579.9807958925161
563,600.3530719259966
564,626.5521023074475
565,662.9318318527181
566,649.8438065836524
567,676.6810019719505
568,660.6231963169828
569,571.7730417011383
570,649.2431277185378
571,572.7294429234937
572,636.5655991240028
573,613.2817347378788
574,621.8020274155543
575,603.5478328501156
576,653.925231803838
577,627.4257570358078
578,610.8998572094749
579,603.3185640940379
580,608.0967101040579
581,620.5925789884914
582,505.58918773333477
583,624.5147248822511
584,591.8414362180949
585,607.4136192988567
586,644.9029990628524
587,613.0439059179618
588,627.871841579798
589,629.091010865047
590,593.9757988014853
591,615.2065958993927
592,570.2052037200702
593,652.5925164817261
594,586.1475339433226
595,620.2814278526944
596,646.7640578184037
597,592.2004309062248
598,596.4710475974675
599,663.0792306609856
600,645.0483688390216
601,585.8492295401192
602,624.9034201535814
603,613.9996061197694
604,629.3417980578106
605,606.4621466918305
606,638.8501638698684
607,605.0600662415726
608,678.2477921719203
609,631.3574161801012
610,568.257222973744
611,642.115624862724
612,678.5553351075774
613,629.5787545134656
614,676.306097287279
615,609.4094039830414
616,639.9165583011046
617,678.4615088656902
618,606.5074383233165
619,621.8154836228908
620,630.7236521781632
621,607.6946477762491
622,604.2278377454037
623,590.3166087313643
624,609.5284499063682
625,591.3148790370326
626,668.4327976747369
627,610.8509811386396
628,609.571989436859
629,589.3500414828904
630,640.2773764360372
631,621.5333965757729
632,620.8954806090193
633,610.0375632368969
634,631.9983350973832
635,493.74210821344974
636,612.5808876209414
637,611.1478852988822
638,604.9133242448307
639,659.9737181282451
640,583.2560797725673
641,613.3052263638965
642,632.5516729817302
643,590.702327005527
644,606.4391281757884
645,592.4181525016498
646,552.5062602882722
647,580.0406338488592
648,648.7752177383195
649,669.3901475310537
650,620.0892309735558
651,579.9577529269712
652,616.7268478070339
653,632.5235145706116
654,639.8318956381077
655,616.7358955338738
656,529.7606201564846
657,628.3922865541313
658,565.2694689355095
659,658.5187929724232
660,638.7709710363515
661,586.4363113823699
662,623.9492295842748
663,568.8003019526833
664,547.1425034717873
665,637.4554522007826
666,622.5033654809938
667,637.3757336462616
668,634.7827681798555
669,603.0047764534577
670,578.9849001507894
671,639.47470710932
672,668.0979736330337
673,613.4795958735145
674,589.9429545234501
675,642.4074934763139
676,619.9735047848474
677,624.3236909586478
678,606.1109158752257
679,604.6493296798656
680,611.9887331500971
681,621.1426216753649
682,587.778583466366
683,607.6094017914497
684,656.8861272580804
685,548.9611689987757
686,609.0478556689521
687,666.117101264496
688,627.0180723381429
689,640.4351268492999
690,612.200834350811
691,668.8303110086699
692,617.2036200832518
693,590.5105579122175
694,646.1400646796181
695,663.1133610719264
696,548.1186284347789
697,658.4019831044282
698,675.9959169139178
699,629.229304950642
700,585.2423826769984
701,595.6190112029778
702,646.5950644661141
703,624.3475463366495
704,619.9037911145552
705,544.9456948366868
706,659.1225024749007
707,626.2883269051222
708,600.8983863893552
709,637.8829715149652
710,636.7380379789865
711,609.9710440570605
712,598.5867714066779
713,608.9206387750654
714,656.9498183013263
715,585.8204496593505
716,636.1073131160301
717,655.0504537955891
718,601.9719172024531
719,597.2531206293876
720,617.1309103254345
721,640.9622890410908
722,664.1751442280372
723,615.5212151743616
724,597.7916905322614
725,643.5462130490444
726,614.9636804692049
727,627.3334758041547
